StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Q_RecaptchaScore,gender,ucla pre m_1,ucla pre m_2,ucla pre m_3,ucla_pre_avg,AI attitudes M _1,AI attitudes M _2,AI attitudes M _3,AI attitudes M _4,AI attitudes M _5,AI attitudes M _6,AI_attitudes_grade,AI attitudes attention_check,Ant' humannature  _1,Ant' humannature  _2,Ant' humannature  _3,Ant' humannature  _4,Ant' humannature  _5,Ant' humannature  _6,Ant' humannature  _7,Ant' humannature  _8,Ant' humannature  _9,Ant' humannature  _10,avr. Ant Human,Ant' uniquelytraits _1,Ant' uniquelytraits _2,Ant' uniquelytraits _3,Ant' uniquelytraits _4,Ant' uniquelytraits _5,Ant' uniquelytraits _6,Ant' uniquelytraits _7,Ant' uniquelytraits _8,Ant' uniquelytraits _9,Ant' uniquelytraits _10,avr. Ant uniqley,TOTAL ANT,ucla post M _1,ucla post M _2,ucla post M _3,ucla_post_grade_avg,Feeling heard M_1,Feeling heard M_2,Feeling heard M_3,Feeling heard M_4,N-Feeling heard M_4,Feeling heard M_5,Feeling heard M_6,Total feeling heard,ease check M _1,ease_check_fixed,IOS (Inclusion of Ot,Intimacy M _1,Intimacy M _2,Intimacy M _3,N-Intimacy M _3,Intimacy M _4,Intimacy M _5,N-Intimacy M _5,Intimacy M _6,N-Intimacy M _6,Intimacy M _7,Avr intimacy,Attention check,Meta-perceptions M_1,Meta-perceptions M_2,Meta-perceptions M_3,Meta-perceptions M_4,Meta-perceptions M_5,Meta_ perceptions_grade,self-esteem M_1,self-esteem M_2,N-self-esteem M_2,self-esteem M_3,self-esteem M_4,self-esteem M_5,N-self-esteem M_5,self-esteem M_6,N-self-esteem M_6,self-esteem M_7,self-esteem M_8,N-self-esteem M_8,self-esteem M_9,N self-esteem M_9,self-esteem M_10,Average self-esteem,Performance M_1,Performance M_2,Performance M_3,Performance M_4,Performance M_5,Performance M_6,Average performance,political view,English level,AI brands usage,AI brands usage_8_TEXT,AI frequency,uid,Create New Field or Choose From Dropdown...,גיל,chat_version,Self disclosure_dummy,Responsivness_dummy,Self disclosure,Responsivness
11/04/2024 4:11,11/04/2024 4:25,0,100,827,1,11/04/2024 4:25,R_4rEm8UymSnzxG8N,1,1,2,1,1,1.333333333,5,5,6,5,5,4,30,5,6,6,6,4,6,1,1,1,1,1,3.3,3,6,1,1,6,6,1,5,1,1,4.5,3.9,1,1,1,1,2,5,4,1,6,5,5,4.5,6,4,1,5,5,3,4,5,3,4,1,6,6,5,1,4,2,1,2,4,2.6,5,4,3,6,6,2,5,2,5,6,2,5,2,5,5,5.1,5,4,5,5,6,5,5,4,5,4,,4,117532403,,23,2,1,1,Self-dislosure,Responsive
11/04/2024 4:58,11/04/2024 5:10,0,100,768,1,11/04/2024 5:10,R_223zes82eq4RyRm,0.100000002,1,3,3,3,3,5,5,6,4,4,5,29,5,3,6,5,3,4,1,2,2,1,1,2.8,3,3,2,3,4,3,1,5,2,4,3.666666667,3.233333333,3,3,3,3,5,5,4,1,6,6,5,5.166666667,7,5,5,4,6,2,5,4,4,3,1,6,5,4.714285714,1,4,2,5,3,4,3.6,5,4,3,5,4,3,4,4,3,3,4,3,1,6,5,4.1,5,1,5,6,5,5,4.5,4,6,4,,6,117532404,,22,2,1,1,Self-dislosure,Responsive
11/04/2024 6:42,11/04/2024 6:55,0,100,736,1,11/04/2024 6:55,R_41jE1mjxfoDShLG,1,1,1,5,5,3.666666667,2,2,2,4,5,2,17,5,5,4,3,3,3,1,3,2,1,1,2.6,5,5,5,5,5,4,5,5,4,4,4.666666667,3.633333333,1,5,5,3.666666667,3,5,3,5,2,5,5,3.833333333,5,3,3,2,3,3,4,2,2,5,6,1,2,2.714285714,1,3,3,4,3,3,3.2,3,6,1,4,3,5,2,5,2,3,6,1,5,2,2,2.3,6,1,5,6,6,6,5,1,4,9,,1,117532445,,30,0,1,0,Self-dislosure,Not responsive
11/04/2024 7:15,11/04/2024 7:25,0,100,577,1,11/04/2024 7:25,R_4CqxXhfwSLb3oRV,1,1,1,1,1,1,4,4,2,5,2,2,19,5,2,6,4,2,3,1,1,1,1,1,2.2,1,3,1,1,1,1,1,5,1,1,2,2.1,1,1,1,1,4,2,1,1,6,5,2,3.333333333,4,2,2,4,5,1,6,2,4,3,2,5,2,3.857142857,1,2,1,2,2,3,2,4,2,5,6,6,1,6,1,6,6,5,2,1,6,4,5.1,5,1,4,4,5,4,3.833333333,3,6,4,,4,117532446,,32,1,0,0,Generic,Not responsive
11/04/2024 10:03,11/04/2024 10:10,0,100,416,1,11/04/2024 10:10,R_4Q3cSIDT5NAWDqq,1,2,4,4,4,4,6,6,6,6,5,6,35,5,5,5,5,5,5,1,1,1,1,1,3,6,6,1,1,6,6,1,6,1,6,6,4.5,4,3,4,3.666666667,5,6,5,1,6,6,5,5.5,8,6,2,6,5,1,6,5,1,6,1,6,5,5.571428571,1,1,4,5,5,4,3.8,5,5,2,6,6,1,6,4,3,5,2,5,2,5,5,4.8,6,2,6,6,6,5,5.166666667,2,6,4,,7,117532518,,23,0,1,0,Self-dislosure,Not responsive
11/04/2024 4:48,11/04/2024 4:58,0,100,592,1,11/04/2024 4:58,R_4ImIsisBVlVvWZH,1,2,1,1,1,1,6,3,5,4,3,6,27,5,5,5,3,5,3,3,2,6,3,2,3.7,2,4,3,2,4,4,2,2,2,4,3.333333333,3.516666667,1,1,1,1,1,1,1,6,1,1,1,1,6,4,1,2,2,6,1,2,2,5,6,1,2,2.142857143,1,5,3,2,1,2,2.6,6,3,4,6,6,1,6,1,6,6,3,4,1,6,6,5.6,4,5,4,5,4,4,4.333333333,3,6,"4,7,8",רובי בוט,6,117532520,,21,0,1,0,Self-dislosure,Not responsive
11/05/2024 2:10,11/05/2024 2:22,0,100,742,1,11/05/2024 2:22,R_4bH8qk35BZT2h10,1,2,2,1,2,1.666666667,6,5,6,5,5,4,31,5,4,6,5,3,6,1,1,1,1,1,2.9,4,6,1,2,6,4,1,5,1,4,4.833333333,3.866666667,1,1,2,1.333333333,6,6,3,1,6,6,6,5.5,7,5,2,6,6,4,3,5,6,1,5,2,4,3.857142857,1,1,3,1,4,3,2.4,4,6,1,5,6,4,3,3,4,6,6,1,3,4,4,3.8,6,6,6,6,6,5,5.833333333,1,1,4,,6,117532527,,25,2,1,1,Self-dislosure,Responsive
11/04/2024 3:58,11/04/2024 4:14,0,100,943,1,11/04/2024 4:14,R_4HDCI2xTds9Wk13,1,2,3,4,3,3.333333333,4,3,5,3,2,4,21,5,4,5,5,3,3,1,1,1,1,1,2.5,5,4,3,3,4,4,1,5,3,4,4.333333333,3.416666667,3,4,3,3.333333333,3,6,4,2,5,6,5,4.833333333,7,5,2,4,4,4,3,4,2,5,6,1,1,3.142857143,1,1,1,2,3,1,1.6,2,6,1,3,3,5,2,6,1,2,5,2,5,2,3,2.1,5,1,3,6,6,5,4.333333333,5,6,4.6,,5,117532533,,32,3,0,1,Generic,Responsive
11/04/2024 7:40,11/04/2024 8:02,0,100,1312,1,11/04/2024 8:02,R_2SH3UQT4avcNt4W,1,2,3,3,1,2.333333333,2,2,1,3,1,2,11,5,5,5,5,4,3,1,4,1,1,1,3,3,4,1,2,2,4,1,5,1,2,3.333333333,3.166666667,2,2,1,1.666666667,2,5,5,2,5,6,5,4.666666667,8,6,1,5,2,5,2,3,5,2,5,2,2,2.571428571,1,3,3,4,2,1,2.6,5,4,3,6,5,2,5,3,4,5,1,6,1,6,5,5,3,5,3,5,4,4,4,4,4,4,,4,117532538,,41,3,0,1,Generic,Responsive
11/04/2024 3:57,11/04/2024 4:05,0,100,467,1,11/04/2024 4:05,R_4twAnwHfd9MgfC1,1,2,2,2,2,2,4,4,4,4,3,4,23,5,3,5,4,2,3,1,1,1,1,1,2.2,2,3,1,1,4,3,1,5,1,3,3.333333333,2.766666667,2,2,2,2,4,3,4,1,6,6,4,4.5,6,4,3,4,4,1,6,4,4,3,4,3,3,3.857142857,1,4,1,4,4,1,2.8,6,2,5,6,6,1,6,1,6,6,1,6,1,6,6,5.9,5,2,4,4,5,4,4,2,6,4,,4,117532542,,37,2,1,1,Self-dislosure,Responsive
11/04/2024 9:47,11/04/2024 10:08,0,100,1273,1,11/04/2024 10:08,R_4iKbraEcUfIVRXm,1,2,4,4,3,3.666666667,5,5,4,5,5,4,28,5,6,5,5,2,5,1,1,1,3,1,3,2,5,1,1,6,5,1,6,1,1,4.166666667,3.583333333,2,4,3,3,6,6,4,2,5,6,5,5.333333333,8,6,5,5,6,2,5,4,5,2,1,6,5,4.714285714,1,5,5,5,4,5,4.8,5,3,4,6,6,1,6,2,5,6,1,6,1,6,6,5.6,5,6,5,5,5,5,5.166666667,2,6,4,,4,117532556,,51,2,1,1,Self-dislosure,Responsive
11/04/2024 12:10,11/04/2024 12:27,0,100,981,1,11/04/2024 12:27,R_4IXFZqtYiQ8BtfN,0.600000024,2,1,1,1,1,5,2,6,3,2,6,24,5,1,4,3,1,2,1,1,1,1,1,1.6,4,4,4,4,4,2,1,6,5,1,3.5,2.55,1,1,1,1,1,2,1,5,2,6,1,2.166666667,4,2,1,2,2,6,1,3,6,1,6,1,3,1.857142857,1,2,2,3,2,1,2,4,5,2,5,5,2,5,2,5,5,3,4,2,5,4,4.4,5,6,3,2,5,2,3.833333333,2,4,4.6,,5,117532567,,57,3,0,1,Generic,Responsive
11/04/2024 11:27,11/04/2024 11:36,0,100,563,1,11/04/2024 11:36,R_8Vlq4JfYNsBqYMW,1,2,1,1,1,1,4,4,4,4,2,2,20,5,3,3,2,1,4,1,2,1,1,1,1.9,1,1,1,3,4,1,1,4,1,2,2.166666667,2.033333333,1,1,1,1,2,3,1,3,4,5,1,2.666666667,4,2,1,2,1,6,1,4,6,1,6,1,2,1.714285714,1,1,1,1,1,1,1,5,2,5,6,5,2,5,2,5,5,2,5,1,6,5,5.2,5,6,2,2,5,3,3.833333333,6,6,4.5,,4,117532575,,62,0,1,0,Self-dislosure,Not responsive
11/04/2024 6:41,11/04/2024 7:02,0,100,1241,1,11/04/2024 7:02,R_8mfIgsyw0CwR1sJ,1,2,3,3,3,3,4,5,5,5,5,4,28,5,4,4,4,4,4,1,1,1,1,1,2.5,4,4,1,1,4,4,1,4,1,1,3.5,3,3,3,2,2.666666667,5,5,5,1,6,5,5,5.166666667,7,5,3,5,5,2,5,5,3,4,2,5,4,4.714285714,1,1,3,3,3,1,2.2,5,1,6,5,4,1,6,1,6,5,5,2,1,6,5,5,5,5,5,5,5,5,5,5,5,4,,6,117532582,,66,2,1,1,Self-dislosure,Responsive
11/04/2024 3:56,11/04/2024 4:05,0,100,515,1,11/04/2024 4:05,R_4mHx5EWkHsqiCUp,1,2,3,3,3,3,4,2,3,4,4,3,20,5,4,3,3,3,3,3,4,4,3,3,3.3,3,3,4,4,2,2,3,4,3,3,2.833333333,3.066666667,3,3,3,3,3,2,3,4,3,5,2,3,4,2,1,3,3,5,2,3,3,4,5,2,2,2.714285714,1,2,2,2,2,2,2,3,4,3,4,3,2,5,2,5,4,2,5,2,5,4,4.1,2,2,2,2,2,2,2,3,5,9,,1,117532584,,70,0,1,0,Self-dislosure,Not responsive
11/04/2024 5:45,11/04/2024 5:55,0,100,600,1,11/04/2024 5:55,R_4NPNM4xavzVnJf3,1,2,1,1,1,1,3,3,1,3,3,3,16,5,6,6,6,6,6,1,1,1,1,1,3.5,6,6,1,1,6,4,1,6,1,1,4.833333333,4.166666667,1,1,1,1,6,6,5,1,6,6,6,5.833333333,8,6,7,5,5,1,6,5,1,6,1,6,5,5.428571429,1,4,3,5,5,4,4.2,5,1,6,6,5,1,6,1,6,5,1,6,1,6,6,5.7,5,1,5,5,5,5,4.333333333,3,6,9,,1,117532585,,67,3,0,1,Generic,Responsive
11/04/2024 8:16,11/04/2024 8:28,0,100,740,1,11/04/2024 8:28,R_4DIsHnt3ZDditki,1,1,1,1,1,1,1,5,5,5,1,2,19,5,2,2,3,1,1,1,1,1,1,1,1.4,3,6,6,1,6,6,1,6,1,1,4.666666667,3.033333333,1,1,1,1,5,5,1,2,5,5,6,4.5,7,5,3,2,4,5,2,2,5,2,5,2,2,2.285714286,1,6,4,1,1,1,2.6,5,5,2,6,6,1,6,5,2,6,5,2,1,6,6,4.7,6,6,5,5,5,4,5.166666667,1,1,4,,4,117532698,,22,2,1,1,Self-dislosure,Responsive
11/04/2024 8:55,11/04/2024 9:11,0,100,945,1,11/04/2024 9:11,R_4TVpF93E3prX7oJ,1,1,4,3,4,3.666666667,6,5,6,3,2,5,27,5,6,5,3,1,4,1,3,1,1,1,2.6,4,4,3,1,4,1,1,6,2,2,3.5,3.05,4,2,4,3.333333333,5,6,2,1,6,6,5,5,8,6,1,1,1,4,3,1,5,2,5,2,3,1.857142857,1,4,1,1,1,1,1.6,2,6,1,6,6,2,5,5,2,4,6,1,2,5,1,3.3,6,1,3,5,5,4,4,2,5,"4,6,8","לאונדרו, אדובי פיירפלאי",6,117532707,,29,1,0,0,Generic,Not responsive
11/04/2024 13:13,11/04/2024 13:21,0,100,465,1,11/04/2024 13:21,R_8cbzEzPSimXevbd,1,2,3,2,2,2.333333333,5,5,6,4,4,5,29,5,2,3,2,1,2,1,1,1,1,1,1.5,1,3,5,6,4,2,1,4,5,4,3,2.25,2,2,2,2,4,5,1,4,3,5,1,3.166666667,5,3,3,2,3,4,3,2,1,6,5,2,1,2.714285714,1,1,2,1,1,4,1.8,5,4,3,5,5,1,6,4,3,2,3,4,1,6,5,4.4,4,5,1,2,5,4,3.5,2,5,4,,5,117532776,,29,0,1,0,Self-dislosure,Not responsive
11/04/2024 4:51,11/04/2024 5:07,0,100,958,1,11/04/2024 5:07,R_8maZHdKFTh8SrUm,1,2,5,4,4,4.333333333,4,3,2,4,4,3,20,5,4,4,4,4,4,1,2,2,1,1,2.7,4,4,2,3,5,5,1,5,1,4,4.5,3.6,4,4,4,4,5,5,4,2,5,5,5,4.833333333,7,5,4,4,4,3,4,4,4,3,4,3,3,3.571428571,1,2,3,3,2,2,2.4,2,5,2,4,5,4,3,4,3,4,5,2,4,3,3,3.1,5,6,5,5,5,5,5.166666667,4,6,9,,1,117532829,,65,3,0,1,Generic,Responsive
11/05/2024 2:48,11/05/2024 3:15,0,100,1593,1,11/05/2024 3:15,R_4IaLbExU9LCL3pL,1,1,2,2,1,1.666666667,5,5,5,2,2,4,23,5,1,4,2,1,3,1,1,2,1,1,1.7,3,2,5,2,3,3,1,4,4,2,2.833333333,2.266666667,2,2,2,2,2,5,1,5,2,5,2,2.833333333,4,2,3,2,2,5,2,2,6,1,6,1,2,1.714285714,1,2,2,3,2,1,2,5,2,5,5,6,2,5,2,5,5,2,5,1,6,5,5.2,2,5,3,2,4,1,2.833333333,6,6,5.7,,6,117533302,,59,0,1,0,Self-dislosure,Not responsive
11/04/2024 5:57,11/04/2024 6:05,0,100,452,1,11/04/2024 6:05,R_2fHhQiXAoBblgxP,1,2,3,2,2,2.333333333,6,5,6,5,5,6,33,5,1,4,3,1,3,1,1,1,1,1,1.7,3,2,5,1,4,1,1,5,1,1,2.666666667,2.183333333,3,2,2,2.333333333,4,4,1,5,2,4,1,2.666666667,7,5,1,2,2,5,2,1,4,3,1,6,1,2.428571429,1,1,2,2,1,1,1.4,5,5,2,5,5,2,5,4,3,5,2,5,2,5,5,4.5,5,5,4,3,5,3,4.166666667,4,6,4.6,,8,117533327,,33,1,0,0,Generic,Not responsive
11/04/2024 7:03,11/04/2024 7:20,0,100,967,1,11/04/2024 7:20,R_4kjQvHu2rmtaSaB,1,2,4,4,4,4,5,5,5,5,4,5,29,5,3,4,3,3,4,1,3,1,1,1,2.4,3,3,3,2,3,3,1,4,1,3,3.166666667,2.783333333,4,4,4,4,5,5,3,2,5,5,3,4.333333333,7,5,3,4,5,4,3,4,4,3,2,5,3,3.857142857,1,1,4,5,3,2,3,6,4,3,6,6,2,5,4,3,5,4,3,2,5,5,4.7,4,5,5,5,4,5,4.666666667,3,6,4,,5,117533352,,48,1,0,0,Generic,Not responsive
11/04/2024 6:47,11/04/2024 7:03,0,100,947,1,11/04/2024 7:03,R_4xQxsCX0W8tHJU8,1,2,1,1,1,1,1,1,1,1,1,1,6,5,6,5,5,5,5,1,1,1,1,1,3.1,3,5,5,1,6,6,1,5,1,1,4.333333333,3.716666667,1,1,1,1,5,5,5,1,6,5,5,5.166666667,7,5,1,6,4,4,3,1,1,6,4,3,1,3.428571429,1,1,1,1,1,1,1,6,1,6,6,6,1,6,1,6,6,1,6,1,6,6,6,5,5,5,5,5,5,5,3,5,9,,1,117533374,,65,3,0,1,Generic,Responsive
11/04/2024 7:11,11/04/2024 7:22,0,100,688,1,11/04/2024 7:22,R_8nC5bPFSeFNfKxy,1,1,1,3,1,1.666666667,5,5,5,5,4,4,28,5,5,5,5,5,5,1,1,5,1,2,3.5,3,2,1,6,3,3,1,5,1,1,2.833333333,3.166666667,1,1,1,1,3,3,1,1,6,5,3,3.5,5,3,1,3,1,4,3,1,6,1,4,3,3,2.142857143,1,3,4,3,4,3,3.4,5,1,6,5,5,5,2,1,6,5,5,2,1,6,5,4.7,5,5,4,3,5,3,4.166666667,1,4,4,,8,117533686,,24,0,1,0,Self-dislosure,Not responsive
11/04/2024 11:24,11/04/2024 11:32,0,100,502,1,11/04/2024 11:32,R_26m7aD5c1kxMhNv,1,1,1,1,1,1,1,2,1,3,2,1,10,5,3,5,4,4,4,1,1,1,1,1,2.5,4,2,1,1,5,3,1,5,1,4,3.833333333,3.166666667,1,1,1,1,4,5,1,1,6,5,4,4.166666667,8,6,2,1,1,1,6,1,5,2,5,2,1,2,1,1,1,1,1,1,1,6,1,6,6,6,1,6,1,6,6,1,6,1,6,6,6,5,5,5,5,5,5,5,4,4,9,,1,117533737,,57,3,0,1,Generic,Responsive
11/04/2024 8:28,11/04/2024 8:38,0,100,641,1,11/04/2024 8:38,R_4EzPafNc1BYkX2R,1,1,2,2,2,2,6,3,6,6,4,6,31,5,5,4,5,1,5,1,1,1,1,1,2.5,1,2,1,1,5,2,1,6,1,4,3.333333333,2.916666667,2,2,2,2,5,5,1,1,6,6,5,4.666666667,8,6,6,1,6,4,3,1,1,6,1,6,6,4.142857143,1,1,4,1,1,1,1.6,5,4,3,6,6,1,6,2,5,6,4,3,1,6,5,5.1,6,6,6,6,6,6,6,7,6,"4,5,6,7",,7,117533745,,70,1,0,0,Generic,Not responsive
11/05/2024 12:01,11/05/2024 12:11,0,100,628,1,11/05/2024 12:11,R_4prFAKi4hbv7tmN,1,2,1,2,1,1.333333333,4,3,3,4,2,5,21,5,4,5,6,3,4,1,1,1,1,1,2.7,4,5,1,1,5,4,1,6,1,1,4.166666667,3.433333333,1,2,1,1.333333333,6,5,4,1,6,6,5,5.333333333,8,6,2,5,6,2,5,4,1,6,1,6,5,5.285714286,1,4,3,4,1,3,3,5,5,2,6,6,2,5,5,2,5,4,3,3,4,5,4.3,6,6,5,5,5,5,5.333333333,3,6,9,,1,117533753,,20,0,1,0,Self-dislosure,Not responsive
